core	walltime	delay	loss	avg. delay
269	472	3	0.0063	0.2000
270	485	2	0.0041	0.1250
271	487	2	0.0041	0.1333
272	485	4	0.0082	0.2500
273	467	2	0.0043	0.1333
274	464	3	0.0064	0.2000
275	485	0	0.0000	0.0000
276	487	1	0.0020	0.0625
277	486	5	0.0102	0.3125
278	480	2	0.0041	0.1333
279	485	4	0.0082	0.2667
280	467	3	0.0064	0.2000
281	484	1	0.0021	0.0714
282	471	2	0.0042	0.1429
283	472	1	0.0021	0.0667
284	479	1	0.0021	0.0667
285	483	2	0.0041	0.1333
286	488	2	0.0041	0.1250
287	485	4	0.0082	0.2500
288	470	4	0.0084	0.2857
289	461	2	0.0043	0.1333
290	485	2	0.0041	0.1250
291	467	3	0.0064	0.2000
292	460	2	0.0043	0.1333
293	480	0	0.0000	0.0000
294	468	4	0.0085	0.2857
295	487	2	0.0041	0.1250
296	486	3	0.0061	0.1875
297	502	4	0.0079	0.2667
298	483	5	0.0102	0.3125
299	463	2	0.0043	0.1429
300	464	1	0.0022	0.0714
301	483	4	0.0082	0.2500
302	459	3	0.0065	0.2143
303	458	5	0.0108	0.3333
304	467	5	0.0106	0.3333
305	466	4	0.0085	0.2667
306	471	4	0.0084	0.2857
307	477	1	0.0021	0.0667
308	470	1	0.0021	0.0667
309	455	5	0.0109	0.3333
310	456	3	0.0065	0.2000
311	456	2	0.0044	0.1333
312	466	3	0.0064	0.2000
313	457	2	0.0044	0.1333
314	469	4	0.0085	0.2667
315	466	3	0.0064	0.2000
316	477	4	0.0083	0.2667
317	454	5	0.0109	0.3333
318	472	2	0.0042	0.1333
319	462	2	0.0043	0.1429
320	459	11	0.0234	0.9167
total	157914	987	0.0062	0.1974
